[2020.04.06 11:57:11:960] EVENT,start thread Logger 32 {32} [4729]
[2020.04.06 11:57:11:961] EVENT,file io allowed to u87wpcfg.dat {14} [4729]
[2020.04.06 11:57:11:961] EVENT,set iswsptrt30 to 4 autotransportdetect=no usetunneling=0 {14} [4729]
[2020.04.06 11:57:11:962] EVENT, upper server set9 to    {14} [4729]
[2020.04.06 11:57:11:963] EVENT,common initialized {14} [4729]
[2020.04.06 11:57:11:963] EVENT,common initialized1 [wpmain] {14} [4729]
[2020.04.06 11:57:11:963] EVENT,apicall API_SetParameter serveraddress,46.105.182.20 [wpmain] {14} [4729]
[2020.04.06 11:57:11:963] EVENT,start thread MAsyncTask 33 {33} [4729]
[2020.04.06 11:57:11:963] EVENT,async task start 9 {33} [4729]
[2020.04.06 11:57:11:963] EVENT,serveraddrlst2: a (170):  b:  c:  d:  e:  f:  g:  h:  i:  j:  {33} [4729]
[2020.04.06 11:57:11:963] EVENT,read config file D:\My Project\SIP_FELGDENT\mwphonedata\u87wpcfgex.dat (2536) {14} [4729]
[2020.04.06 11:57:11:963] EVENT, configex load finished 77 {14} [4729]
[2020.04.06 11:57:11:963] EVENT,      set parameter (from 6) serveraddress=46.105.182.20 {14} [4729]
[2020.04.06 11:57:11:968] EVENT, network addr set to 192.168.55.101 {33} [4729]
[2020.04.06 11:57:11:968] EVENT, network addr2 set to 192.168.55.101 {33} [4729]
[2020.04.06 11:57:11:968] EVENT,async task 9 finished in 5 msec {33} [4729]
[2020.04.06 11:57:12:050] EVENT,param serveraddress set to 46.105.182.20 [wpmain] {14} [4729]
[2020.04.06 11:57:12:050] EVENT,apicall API_SetParameter username,JSSIP [wpmain] {14} [4729]
[2020.04.06 11:57:12:050] EVENT,      set parameter (from 6) username=JSSIP {14} [4729]
[2020.04.06 11:57:12:054] EVENT,param username set to JSSIP [wpmain] {14} [4729]
[2020.04.06 11:57:12:054] EVENT,apicall API_SetParameter password,wAXNEBaXDJ [wpmain] {14} [4729]
[2020.04.06 11:57:12:054] EVENT,      set parameter (from 6) password=***** {14} [4729]
[2020.04.06 11:57:12:057] EVENT,param password set to wAXNEBaXDJ [wpmain] {14} [4729]
[2020.04.06 11:57:12:057] EVENT,apicall API_AudioDevice [wpmain] {14} [4729]
[2020.04.06 11:57:12:057] EVENT,apicall API_Start (0 471220393 rst: no) [wpmain] {14} [4729]
[2020.04.06 11:57:12:058] EVENT,start thread webphonemain 36 {36} [4729]
[2020.04.06 11:57:12:058] EVENT,cannot ReadCookie Unexpected error: This method should not be used unless loaded from plugin.jar {14} [4729]
[2020.04.06 11:57:12:058] EVENT,will auto register on api_start because 1 [wpmain] {14} [4729]
[2020.04.06 11:57:12:058] EVENT,regdetails: s: -1 0 471220394 471220296 98 [wpmain] {14} [4729]
[2020.04.06 11:57:12:058] EVENT,apicall API_Call -2,+ [wpmain] {14} [4729]
[2020.04.06 11:57:12:058] EVENT, switching idle state to false (from: 21) {14} [4729]
[2020.04.06 11:57:12:065] EVENT,on init [wpmain] {36} [4729]
[2020.04.06 11:57:12:066] EVENT, wpapiconnectport set to m 19421 [wpmain] {36} [4729]
[2020.04.06 11:57:12:106] EVENT,sysenv OS name: Windows 10 , arch: amd64 , vers: 10.0 , patch: - , type: x64  [wpmain] {36} [4729]
[2020.04.06 11:57:12:117] EVENT,sysenv CPU: little amd64  cpuspeed: 9000 (meassured: 0 0) cores: 8 dbg:  [wpmain] {36} [4729]
[2020.04.06 11:57:12:119] EVENT,sysenv JVM: Oracle Corporation Java(TM) SE Runtime Environment 1.8.0_191  [wpmain] {36} [4729]
[2020.04.06 11:57:12:121] EVENT,sysenv USR: PL pl Europe/Belgrade Robert  DESKTOP-V5715DS DESKTOP-V5715DS D:\My Project\SIP_FELGDENT  [wpmain] {36} [4729]
[2020.04.06 11:57:12:123] EVENT, sysenv path: D:\My Project\SIP_FELGDENT, datapath: D:\My Project\SIP_FELGDENT\mwphonedata, configfile: D:\My Project\SIP_FELGDENT\mwphonedata\u87wpcfg.dat, logfile: D:\My Project\SIP_FELGDENT\mwphonedata\webphonelog.dat, ext: D:\My Project\SIP_FELGDENT\mwphonedata\, alt: D:\My Project\SIP_FELGDENT\mwphonedata\, from: 413  a u87wpcfg.dat [wpmain] {36} [4729]
[2020.04.06 11:57:12:123] EVENT, toolkit: sun.awt.windows.WToolkit@7122e6ed [wpmain] {36} [4729]
[2020.04.06 11:57:12:124] EVENT,domain: D:, host: D:\My Project\SIP_FELGDENT, url: D:\My Project\SIP_FELGDENT, lib: C:\Program Files\Java\jdk1.8.0_191\bin [wpmain] {36} [4729]
[2020.04.06 11:57:12:125] EVENT,sysenv charsrt: UTF-8 [wpmain] {36} [4729]
[2020.04.06 11:57:12:450] EVENT,deviceid: aPBag5AG [wpmain] {36} [4729]
[2020.04.06 11:57:12:450] EVENT,JVoIP init (loglevel is 5) [wpmain] {36} [4729]
[2020.04.06 11:57:12:450] EVENT,      get parameter (from 10014) audiodevicein=Default {36} [4729]
[2020.04.06 11:57:12:451] EVENT,      get parameter (from 10014) audiodeviceout=Default {36} [4729]
[2020.04.06 11:57:12:451] EVENT,      get parameter (from 10014) audiodevicering=Default {36} [4729]
[2020.04.06 11:57:12:451] EVENT,      get parameter (from 10014) lastaltporttousecfg=0 {36} [4729]
[2020.04.06 11:57:12:452] EVENT,      get parameter (from 10014) lastaltportchangeday=-2 {36} [4729]
[2020.04.06 11:57:12:452] EVENT,      get parameter (from 10014) prevaltportused=0 {36} [4729]
[2020.04.06 11:57:12:453] EVENT,      get parameter (from 10014) finaltransport=0 {36} [4729]
[2020.04.06 11:57:12:453] EVENT,      get parameter (from 10014) mserverfound=0 {36} [4729]
[2020.04.06 11:57:12:453] EVENT,      get parameter (from 10014) checkedwidebandok=0 {36} [4729]
[2020.04.06 11:57:12:453] EVENT,      get parameter (from 10014) oldsignalingport=14292 {36} [4729]
[2020.04.06 11:57:12:453] EVENT,      get parameter (from 10014) systemsockproxywasset=0 {36} [4729]
[2020.04.06 11:57:12:453] EVENT,      get parameter (from 10014) aecwascached=2 {36} [4729]
[2020.04.06 11:57:12:453] EVENT,      get parameter (from 10014) lastrtpportsaved=14294 {36} [4729]
[2020.04.06 11:57:12:453] EVENT,      get parameter (from 10014) lastserverrtpport=0 {36} [4729]
[2020.04.06 11:57:12:454] EVENT,      get parameter (from 10014) lastcfgfileversion=87 {36} [4729]
[2020.04.06 11:57:12:454] EVENT,      get parameter (from 10014) sendvideoonrec=1 {36} [4729]
[2020.04.06 11:57:12:454] EVENT,      get parameter (from 10014) presenceuserlist=,+, {36} [4729]
[2020.04.06 11:57:12:454] EVENT,      get parameter (from 10014) excontactlist=,+, {36} [4729]
[2020.04.06 11:57:12:456] EVENT,      get parameter (from 10014) serverload=1 {36} [4729]
[2020.04.06 11:57:12:457] EVENT, set server load: 1 {36} [4729]
[2020.04.06 11:57:12:458] EVENT,      get parameter (from 10014) pushnotifications3=-1 {36} [4729]
[2020.04.06 11:57:12:458] EVENT,      get parameter (from 10014) packagename=com.mizuvoip.mizudroid.app {36} [4729]
[2020.04.06 11:57:12:458] EVENT,      get parameter (from 10014) fcmgateway=fcm.webvoipphone.com:35060 {36} [4729]
[2020.04.06 11:57:12:458] EVENT,      get parameter (from 10014) pushnotifications=-1 {36} [4729]
[2020.04.06 11:57:12:459] EVENT,read config file D:\My Project\SIP_FELGDENT\mwphonedata\u87wpcfg.dat (221) {36} [4729]
[2020.04.06 11:57:12:459] EVENT,config version 7000187 [wpmain] {36} [4729]
[2020.04.06 11:57:12:459] WARNING,last call was not disconnected properly [wpmain] {36} [4729]
[2020.04.06 11:57:12:459] EVENT,config read 69 [wpmain] {36} [4729]
[2020.04.06 11:57:12:467] EVENT,      get parameter (from 100111) serveraddress=46.105.182.20 {36} [4729]
[2020.04.06 11:57:12:468] EVENT,      get parameter (from 100111) password=***** {36} [4729]
[2020.04.06 11:57:12:468] EVENT,serveraddrlst2: a (75149):  b: 46.105.182.20 c:  d:  e:  f:  g:  h:  i:  j:  {36} [4729]
[2020.04.06 11:57:12:468] EVENT,      get parameter (from 10014) packagename=com.mizuvoip.mizudroid.app {36} [4729]
[2020.04.06 11:57:12:468] EVENT,      get parameter (from 10014) fcmgateway=fcm.webvoipphone.com:35060 {36} [4729]
[2020.04.06 11:57:12:469] EVENT,      get parameter (from 10014) lasthasfcm=0 {36} [4729]
[2020.04.06 11:57:12:469] EVENT,      get parameter (from 10014) pushnotifications=-1 {36} [4729]
[2020.04.06 11:57:12:469] EVENT,      get parameter (from 10014) audiodevicein=Default {36} [4729]
[2020.04.06 11:57:12:469] EVENT,      get parameter (from 10014) audiodeviceout=Default {36} [4729]
[2020.04.06 11:57:12:469] EVENT,      get parameter (from 10014) audiodevicering=Default {36} [4729]
[2020.04.06 11:57:12:508] EVENT,serveraddrlst12: a (112):  b: 46.105.182.20 c:  d:  e:  f:  g:  h:  i:  j:  {36} [4729]
[2020.04.06 11:57:12:508] EVENT,      get parameter (from 10014) pastmaxcallcount=0 {36} [4729]
[2020.04.06 11:57:12:509] EVENT,      get parameter (from 10014) presenceuserlist=,+, {36} [4729]
[2020.04.06 11:57:12:510] EVENT,      get parameter (from 10014) excontactlist=,+, {36} [4729]
[2020.04.06 11:57:12:510] EVENT,      get parameter (from 10014) askforwhitelist=1 {36} [4729]
[2020.04.06 11:57:12:510] EVENT,      get parameter (from 10014) runservice=-1 {36} [4729]
[2020.04.06 11:57:12:510] EVENT,      get parameter (from 10014) scheduledwakeup=1 {36} [4729]
[2020.04.06 11:57:12:512] EVENT, try to load js [wpmain] {36} [4729]
[2020.04.06 11:57:12:513] EVENT, upper server set0 to   {36} [4729]
[2020.04.06 11:57:12:513] EVENT,      get parameter (from 100111) serveraddress=46.105.182.20 {36} [4729]
[2020.04.06 11:57:12:513] EVENT,      get parameter (from 100111) serveraddress=46.105.182.20 {36} [4729]
[2020.04.06 11:57:12:513] EVENT,      get parameter (from 100111) serveraddress=46.105.182.20 {36} [4729]
[2020.04.06 11:57:12:513] EVENT,      get parameter (from 100111) username=JSSIP {36} [4729]
[2020.04.06 11:57:12:513] EVENT,      get parameter (from 10064) sipusername=JSSIP {36} [4729]
[2020.04.06 11:57:12:513] EVENT,      get parameter (from 100111) username=JSSIP {36} [4729]
[2020.04.06 11:57:12:513] EVENT,      get parameter (from 10064) sipusername=JSSIP {36} [4729]
[2020.04.06 11:57:12:514] EVENT,sipusername (auth) is JSSIP [wpmain] {36} [4729]
[2020.04.06 11:57:12:514] EVENT,username (callerid) is JSSIP [wpmain] {36} [4729]
[2020.04.06 11:57:12:514] EVENT,callto is  48795747847 [wpmain] {36} [4729]
[2020.04.06 11:57:12:514] EVENT, lccccc trigger txr [wpmain] {36} [4729]
[2020.04.06 11:57:12:514] EVENT, lccccc trigger xr {36} [4729]
[2020.04.06 11:57:12:514] EVENT, lccccc trigger 10 {36} [4729]
[2020.04.06 11:57:12:514] EVENT,      get parameter (from 10014) allcallcount=16 {36} [4729]
[2020.04.06 11:57:12:514] EVENT,      get parameter (from 10014) allsucccallcount=1 {36} [4729]
[2020.04.06 11:57:12:514] EVENT,      get parameter (from 10014) lastcodecused=8 {36} [4729]
[2020.04.06 11:57:12:514] EVENT,      get parameter (from 10014) audiodevicehash=8710 {36} [4729]
[2020.04.06 11:57:12:514] EVENT,      get parameter (from 10014) audiodevicehash2=8710 {36} [4729]
[2020.04.06 11:57:12:515] EVENT, autovalues aec: 2, aecfast: 1, aecnative: 1, aecorig: 1, agc: 2, denoise: 3, plc: true [wpmain] {36} [4729]
[2020.04.06 11:57:12:515] WARNING,disabling codec g729 because cannot load [wpmain] {36} [4729]
[2020.04.06 11:57:12:515] EVENT,      get parameter (from 100111) password=***** {36} [4729]
[2020.04.06 11:57:12:523] EVENT,JVoIP init finished2 [wpmain] {36} [4729]
[2020.04.06 11:57:12:523] EVENT, conncurrent instances in the same classloader: 1 {36} [4729]
[2020.04.06 11:57:12:524] EVENT,main thread started [wpmain] {36} [4729]
[2020.04.06 11:57:12:524] EVENT,JVoIP start 7.6.19061 [wpmain] {36} [4729]
[2020.04.06 11:57:12:524] EVENT,afterstart event [wpmain] {36} [4729]
[2020.04.06 11:57:12:524] EVENT,app version: 7.6.19061 6/13/2019 11:56:20 [wpmain] {36} [4729]
[2020.04.06 11:57:12:524] EVENT,app type: 3 [wpmain] {36} [4729]
[2020.04.06 11:57:12:524] EVENT,codebase: null [wpmain] {36} [4729]
[2020.04.06 11:57:12:524] EVENT,docbase: null [wpmain] {36} [4729]
